Return period [years],Hs[m],Tp(P5-model) [s],Tp(Mean-model) [s],Tp(P95-model) [s]
1,11.09,12.19,14.32,16.45
10,12.83,13.14,15.2,17.27
100,14.93,14.18,16.23,18.29
10000,18.86,15.94,18.1,20.26
