TP_1vsTP,HS_bin,TP_1,rmse,bias,mae,corr,si
-,0.5,8.17,0.58,0.5,0.5,0.99,0.04
-,1.5,8.79,0.58,0.5,0.5,0.99,0.03
-,2.5,9.59,0.58,0.5,0.5,0.99,0.03
-,3.5,10.29,0.57,0.5,0.5,0.99,0.03
-,4.5,10.98,0.58,0.5,0.5,0.98,0.03
-,5.5,11.67,0.57,0.49,0.49,0.98,0.03
-,6.5,12.39,0.58,0.5,0.5,0.98,0.02
-,7.5,13.0,0.6,0.52,0.52,0.97,0.02
-,8.5,13.4,0.6,0.53,0.53,0.97,0.02
