Hs[m],Tp(P5-model) [s],Tp(Mean-model) [s],Tp(P95-model) [s]
1.0,3.91,7.77,11.62
2.0,5.06,8.8,12.53
3.0,6.1,9.61,13.12
4.0,7.07,10.32,13.58
5.0,7.96,10.98,14.0
6.0,8.8,11.6,14.4
7.0,9.58,12.19,14.8
8.0,10.31,12.76,15.22
9.0,11.0,13.32,15.64
10.0,11.64,13.86,16.09
11.0,12.24,14.39,16.55
12.0,12.81,14.92,17.02
13.0,13.35,15.43,17.51
14.0,13.87,15.94,18.01
15.0,14.36,16.44,18.52
16.0,14.84,16.94,19.03
17.0,15.3,17.43,19.55
18.0,15.76,17.91,20.07
19.0,16.2,18.4,20.59
20.0,16.64,18.87,21.11
