T2m-level,JAN,FEB,MAR,MAY,APR,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Year
<19.5,100.0,100.0,100.0,100.0,100.0,100.0,99.89,99.76,100.0,100.0,100.0,100.0,99.97
<20.0,100.0,100.0,100.0,100.0,100.0,100.0,99.91,99.91,100.0,100.0,100.0,100.0,99.99
<20.5,100.0,100.0,100.0,100.0,100.0,100.0,99.97,99.99,100.0,100.0,100.0,100.0,100.0
<21.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,100.0,100.0,100.0,100.0,100.0,100.0
<22.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Minimum,-6.74,-5.78,-4.6,-1.28,2.1,5.5,7.3,8.4,5.8,3.0,-1.93,-8.24,-8.24
Mean,5.26,4.76,5.05,6.1,8.14,10.77,12.85,13.7,12.22,10.03,7.68,6.11,8.58
P50,5.6,5.1,5.3,6.4,8.2,10.8,12.7,13.5,12.3,10.3,8.0,6.5,8.3
P75,7.0,6.5,6.5,7.2,9.1,11.8,13.7,14.5,13.3,11.2,9.2,7.9,11.5
P95,8.3,7.9,7.6,8.2,10.3,13.1,15.52,16.69,14.8,12.6,10.5,9.1,14.2
P99,9.0,8.6,8.3,9.1,11.4,14.3,17.6,18.25,15.91,13.5,11.3,9.8,16.17
Maximum,10.4,9.8,9.4,11.4,15.13,17.34,21.76,20.59,18.12,14.5,12.9,11.0,21.76
